id,source_id,topic,surah_number,surah_name,ayah,arabic_text_uthmani,arabic_text_indopak,reference_translation,commentary,source_pdf,canonical_arabic_source
TFS-ASR-001,TFS-ASR-01,ASR,103,Al-Asr,1,وَٱلْعَصْرِ,وَالۡعَصۡرِۙ,By the passage of time!,"Asr can mean the time of Asr, time in general, the era or passing ages, or the lifetime of the Prophet ﷺ.",Surah Asr.pdf,Quran.com Quran Foundation API
TFS-ASR-002,TFS-ASR-02,ASR,103,Al-Asr,2,إِنَّ ٱلْإِنسَـٰنَ لَفِى خُسْرٍ,اِنَّ الۡاِنۡسَانَ لَفِىۡ خُسۡرٍۙ,Surely humanity is in loss,"The greatest loss includes loss in time, opportunities, and the Hereafter.",Surah Asr.pdf,Quran.com Quran Foundation API
TFS-ASR-003,TFS-ASR-03,ASR,103,Al-Asr,3,إِلَّا ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ وَتَوَاصَوْا۟ بِٱلْحَقِّ وَتَوَاصَوْا۟ بِٱلصَّبْرِ,اِلَّا الَّذِيۡنَ اٰمَنُوۡا وَ عَمِلُوا الصّٰلِحٰتِ وَتَوَاصَوۡا بِالۡحَقِّ ۙ وَتَوَاصَوۡا بِالصَّبۡرِ,"except those who have faith, do good, and urge each other to the truth, and urge each other to perseverance.","The saved group combines iman, righteous deeds, urging each other to truth, and urging each other to perseverance.",Surah Asr.pdf,Quran.com Quran Foundation API
TFS-FIL-001,TFS-FIL-01,FIL,105,Al-Fil,1,أَلَمْ تَرَ كَيْفَ فَعَلَ رَبُّكَ بِأَصْحَـٰبِ ٱلْفِيلِ,اَلَمۡ تَرَ كَيۡفَ فَعَلَ رَبُّكَ بِاَصۡحٰبِ الۡفِيۡلِؕ,Have you not seen how your Lord dealt with the Army of the Elephant?,Scholars discussed whether Allah is addressing the People of Makkah or Allah's Messenger ﷺ.,Surah Feel.pdf,Quran.com Quran Foundation API
TFS-FIL-002,TFS-FIL-02,FIL,105,Al-Fil,2,أَلَمْ يَجْعَلْ كَيْدَهُمْ فِى تَضْلِيلٍ,اَلَمۡ يَجۡعَلۡ كَيۡدَهُمۡ فِىۡ تَضۡلِيۡلٍۙ,Did He not make their plan go astray?,"Their kayd was a carefully prepared attack on the Ka'bah. | Allah made it tadlil: completely failed, wasted, and misdirected.",Surah Feel.pdf,Quran.com Quran Foundation API
TFS-FIL-003,TFS-FIL-03,FIL,105,Al-Fil,3,وَأَرْسَلَ عَلَيْهِمْ طَيْرًا أَبَابِيلَ,وَّاَرۡسَلَ عَلَيۡهِمۡ طَيۡرًا اَبَابِيۡلَۙ,For He sent against them flocks of birds,"The use of 'ala often appears when Allah sends punishment from above, showing His overwhelming power and dominance. | The indefinite form tayran suggests great numbers, different kinds of birds, and a sense of awe and terror.",Surah Feel.pdf,Quran.com Quran Foundation API
TFS-FIL-004,TFS-FIL-04,FIL,105,Al-Fil,4,تَرْمِيهِم بِحِجَارَةٍ مِّن سِجِّيلٍ,تَرۡمِيۡهِمۡ بِحِجَارَةٍ مِّنۡ سِجِّيۡلٍۙ,that pelted them with stones of baked clay,"Rama / yarmi means to throw from a distance or cast something toward a specific target. | Each bird carried three stones: two in its claws and one in its beak. | The stone would land on a person, hit their head, and come out from the other side.",Surah Feel.pdf,Quran.com Quran Foundation API
TFS-FIL-005,TFS-FIL-05,FIL,105,Al-Fil,5,فَجَعَلَهُمْ كَعَصْفٍ مَّأْكُولٍۭ,فَجَعَلَهُمۡ كَعَصۡفٍ مَّاۡكُوۡلٍ,leaving them like chewed up straw,"The image shows complete, humiliating destruction through something Arabs would immediately recognize.",Surah Feel.pdf,Quran.com Quran Foundation API
TFS-QUR-001,TFS-QUR-01,QUR,106,Quraysh,1,لِإِيلَـٰفِ قُرَيْشٍ,لِاِيۡلٰفِ قُرَيۡشٍۙ,For the familiarity of the Quraysh,"Surah Al-Fil shows Allah removing harm: He destroyed the army of Abraha, protected the Ka'bah, and secured Makkah from fear. | Surah Quraysh shows Allah granting benefit: trade journeys prospered, provisions increased, and safety and stability were established. | The phrase can be connected to Surah Al-Fil, understood through hadhf (ellipsis), or connected to verse 3. | Allah gave Quraysh special virtues, including the Prophet ﷺ being from them, prophethood among them, custodianship of the Ka'bah, providing water to pilgrims, and victory over the People of the Elephant.",Surah Quraish.pdf,Quran.com Quran Foundation API
TFS-QUR-002,TFS-QUR-02,QUR,106,Quraysh,2,إِۦلَـٰفِهِمْ رِحْلَةَ ٱلشِّتَآءِ وَٱلصَّيْفِ,اٖلٰفِهِمۡ رِحۡلَةَ الشِّتَآءِ وَالصَّيۡفِ​ۚ,Secure in their trading journeys in the winter and in the summer,"Rihlah is a journey involving merchandise, baggage, and trade. | Quraysh travelled with large caravans loaded with goods. | Despite carrying valuable merchandise, they enjoyed unusual security.",Surah Quraish.pdf,Quran.com Quran Foundation API
TFS-QUR-003,TFS-QUR-03,QUR,106,Quraysh,3,فَلْيَعْبُدُوا۟ رَبَّ هَـٰذَا ٱلْبَيْتِ,فَلۡيَـعۡبُدُوۡا رَبَّ هٰذَا الۡبَيۡتِۙ,let them worship the Lord of this House,"The highest form of gratitude is servitude and obedience to Allah. | The Ka'bah was the source of their honor among the Arabs, the House Allah protected from Abraha, the center around which Arabs gathered, and the reason tribes respected their caravans. | Five essential aspects of ibadah are ubudiyyah, rida bil-qada, khawf and khashyah, hubb, and tawakkul.",Surah Quraish.pdf,Quran.com Quran Foundation API
TFS-QUR-004,TFS-QUR-04,QUR,106,Quraysh,4,ٱلَّذِىٓ أَطْعَمَهُم مِّن جُوعٍ وَءَامَنَهُم مِّنْ خَوْفٍۭ,الَّذِىۡۤ اَطۡعَمَهُمۡ مِّنۡ جُوۡعٍ ۙ وَّاٰمَنَهُمۡ مِّنۡ خَوۡفٍ,Who has fed them against hunger and made them secure against fear,"Makkah was a barren valley with no agriculture, yet Allah brought provisions to its people from every direction. | Al-Zamakhshari explains that the indefinite forms of hunger and fear indicate severe forms of both.",Surah Quraish.pdf,Quran.com Quran Foundation API
TFS-MAU-001,TFS-MAU-01,MAU,107,Al-Maun,1,أَرَءَيْتَ ٱلَّذِى يُكَذِّبُ بِٱلدِّينِ,اَرَءَيۡتَ الَّذِىۡ يُكَذِّبُ بِالدِّيۡنِؕ,Have you seen the one who denies the Judgment?,Al-Din can refer to the commands of Allah or the Day of Qiyamah.,Surah Maun.pdf,Quran.com Quran Foundation API
TFS-MAU-002,TFS-MAU-02,MAU,107,Al-Maun,2,فَذَٰلِكَ ٱلَّذِى يَدُعُّ ٱلْيَتِيمَ,فَذٰلِكَ الَّذِىۡ يَدُعُّ الۡيَتِيۡمَۙ,That is the one who repulses the orphan,Yadu'u means pushes away or treats harshly. | Yatim is a child who lost their father before puberty.,Surah Maun.pdf,Quran.com Quran Foundation API
